Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rp2,M1,E2,M1_2BC,Rch
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,Ca43,7/2,-,1.0,-148.614274,Ca43,7/2,-,1.0,-148.614274,12.431161,0.0902345438329816,0.008999926959319,12.5303954707923,-2.316278084157801,-2.1279537015743997,-0.2697827295004002,3.633532215460914
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,Ca43,7/2,-,1.0,-131.622254,Ca43,7/2,-,1.0,-131.622254,13.2987732,0.0995030268999917,0.0076432593206857,13.405919486220677,-2.0969134013904003,-2.130047413738401,-0.3213537059188001,3.7520768084116662
5407,6,-0.329714237581,-0.337504164393,-0.335489010926,-0.243021549847,2.434388875723,1.361883794238,-0.098211120185,-1.280240106801,0.931472831284,0.212277866463,-0.866563467882,-0.762656096492,-0.586885662788,-0.53235242121,0.903124674934,-1.482510246495,-0.243137561892,Ca43,7/2,-,1.0,-201.662049,Ca43,7/2,-,1.0,-201.662049,12.9754647,0.0307210998236562,0.0050597580777584,13.011245557901415,-2.139254879812101,-1.88442867323,-0.4522927240966999,3.699108872134127
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,Ca43,7/2,-,1.0,-239.867788,Ca43,7/2,-,1.0,-239.867788,11.4645692,0.0962312445984306,0.0080879294482204,11.56888837404665,-2.3244907620380997,-2.0255903616879,-0.21499190099639998,3.49872108977647
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,Ca43,7/2,-,1.0,-189.697782,Ca43,7/2,-,1.0,-189.697782,12.6988647,0.0501637818798536,0.0063967309508521,12.755425212830705,-2.2372893678436,-2.165989823106699,-0.2127832459543,3.6643670807972697
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,Ca43,7/2,-,1.0,-137.885394,Ca43,7/2,-,1.0,-137.885394,13.9892301,0.0768969503322702,0.007023809124451,14.073150859456721,-2.1860065990962,-2.1497111532669,-0.3237918841998001,3.839962467193751
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,Ca43,7/2,-,1.0,-137.20585,Ca43,7/2,-,1.0,-137.20585,13.3335143,0.0546647853668585,0.0061300756357912,13.39430916100265,-2.207612315640801,-2.1677462238761,-0.30118556629669996,3.750529302778829
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,Ca43,7/2,-,1.0,-160.907953,Ca43,7/2,-,1.0,-160.907953,13.2279229,0.0229374107359514,0.0056824279944136,13.256542738730364,-2.2323085655721995,-2.1994726242931013,-0.23479266033119991,3.7321178476476815
18208,6,-0.344004966406,-0.343946783263,-0.347869116257,-0.234567495303,2.666463812408,1.094527839182,0.009644544733,-0.890962729802,0.747596188667,0.3038638834,-0.892955134995,-0.719420368298,-0.476276238839,-0.620618557429,0.987753542416,1.500127316468,0.420315707058,Ca43,7/2,-,1.0,-216.6101,Ca43,7/2,-,1.0,-216.6101,13.5947161,0.0562286884773706,0.0066075251798378,13.657552313657208,-2.0880048058147005,-1.8124170730999,-0.4207541144803998,3.785460765039998
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,Ca43,7/2,-,1.0,-162.619457,Ca43,7/2,-,1.0,-162.619457,13.802605,0.0516797748934278,0.0057672214559985,13.860051996349426,-2.2183860555828003,-2.3109744755987,-0.2705115170339,3.8121139655510596
24111,6,-0.347389784031,-0.352137646931,-0.346436021317,-0.255202894287,2.789459639443,1.016714226466,-0.025814968845,-1.173114194817,0.843037170003,0.567857783434,-0.875215889135,-0.738656850867,-0.534748542359,-0.608230254267,0.923811002799,-0.401198370376,0.171126088353,Ca43,7/2,-,1.0,-292.741987,Ca43,7/2,-,1.0,-292.741987,11.4846626,0.0409462845297211,0.0057933994822282,11.531402284011948,-2.1000464704960997,-1.9146003003843,-0.3161244571163001,3.4933598689530894
25266,4,-0.332689246953,-0.336354729443,-0.330625456731,-0.24309331515,2.466148750615,0.507794425644,0.054546135869,-0.922750918393,0.79674015176,0.393773329001,-0.773535763886,-0.714947074889,-0.388579918714,-0.772542337833,1.014043464681,-3.661816657592,-0.67160979479,Ca43,7/2,-,1.0,-175.325799,Ca43,7/2,-,1.0,-175.325799,12.3367612,0.0845923596216365,0.0079145390906811,12.429268098712317,-2.2304473402173013,-2.1365151627558006,-0.2181976017532001,3.6195896160631684
26807,4,-0.325228004936,-0.319450891558,-0.322259700062,-0.239838951132,2.167160299447,1.357264654054,0.027412083331,-1.139211537494,0.726749089118,0.441689379722,-0.823430354623,-0.741993389945,-0.34562678068,-0.826568978678,1.126005359662,0.397787740932,-0.189475021575,Ca43,7/2,-,1.0,-170.375371,Ca43,7/2,-,1.0,-170.375371,12.7959364,0.0751166798050267,0.0069556806117387,12.878008760416765,-2.2948761964462006,-2.1876488600342,-0.2452449216549,3.6810555076522227
27641,6,-0.332965845739,-0.329169170966,-0.333919121534,-0.231783350113,2.267998871741,1.180126152521,-0.018407669941,-1.138716665248,0.752349756619,0.215572570333,-0.788350300063,-0.738825081814,-0.48741127838,-0.700051394556,0.956280474016,1.190193161933,-0.015094917912,Ca43,7/2,-,1.0,-173.620543,Ca43,7/2,-,1.0,-173.620543,14.3234415,0.1038641990410702,0.0071188058648419,14.43442450490591,-2.1451211986844,-1.8798095401301,-0.4903511635571002,3.8867191041939098
29451,4,-0.331056927,-0.337961082198,-0.332460168577,-0.258502156255,2.453895716358,0.467355808233,-0.025697490676,-1.02929826274,0.953856369543,0.466616626347,-0.867184494074,-0.708004970964,-0.449185100476,-0.703489464765,0.97091337316,1.661469582368,0.337769901169,Ca43,7/2,-,1.0,-232.231059,Ca43,7/2,-,1.0,-232.231059,11.9880335,0.1066369734621842,0.0083914136137911,12.103061887075976,-2.2771920385951008,-2.0559036798242007,-0.2466886753064002,3.5742443644882447
